Nr   Srednia Odchylenie
 1    14.452     10.916
 2    17.071     10.604
 3    18.975     10.945
 4    20.841     12.042
 5    22.607     11.191
 6    25.439     10.413
 7    26.770     10.629
 8    28.893     10.947
 9    31.996     11.160
10    32.243     10.941
11    34.819      9.913
12    37.293     11.008
13    38.716     10.763
14    41.132     10.775
15    42.308     11.205
16    44.303     11.239
17    47.252     10.781
18    48.802     10.838
19    51.486     10.351
20    53.010     11.213
21    55.225     10.588
22    57.656     10.340
23    58.703     10.643
24    61.880     10.011
25    62.940     10.176
26    64.801      9.725
27    66.626     10.346
28    68.299     10.450
29    70.749     10.410
30    72.770     11.034
31    74.718     10.687
32    77.891     10.924
33    78.640     10.600
34    81.337     10.832
35    83.274     10.586
36    84.993     11.627
37    85.836     10.988
38    89.267     10.315
39    91.132     10.121
40    92.879     10.223
41    95.249     11.843
42    97.158     11.174
43    99.508      9.746
44   101.020     11.224
45   103.611     11.173
46   104.222     11.614
47   106.787     10.734
48   108.625     11.248
49   110.060     10.365
50   112.770     11.531
